id,name,org_id,type,species,age,status,publish_date,status_changed_date,shots_current,org_name
43766125,Topo,TX1841,Dog,Dog,Adult,adopted,2019-01-13T21:46:42+0000,2019-04-21T20:25:31+0000,TRUE,Tysons_Pals_Rescue
43766119,Topo,TX1841,Dog,Dog,Adult,adopted,2019-01-13T21:44:15+0000,2019-04-21T20:25:32+0000,TRUE,Tysons_Pals_Rescue
43766111,Topo,TX1841,Dog,Dog,Adult,adopted,2019-01-13T21:42:12+0000,2019-04-21T20:25:32+0000,FALSE,Tysons_Pals_Rescue
43766105,Topo,TX1841,Dog,Dog,Adult,adopted,2019-01-13T21:40:51+0000,2019-04-21T20:25:32+0000,FALSE,Tysons_Pals_Rescue
43766099,Topo,TX1841,Dog,Dog,Adult,adopted,2019-01-13T21:39:05+0000,2019-04-21T20:25:53+0000,FALSE,Tysons_Pals_Rescue
43766093,Topo,TX1841,Dog,Dog,Adult,adopted,2019-01-13T21:37:43+0000,2019-04-21T20:25:53+0000,FALSE,Tysons_Pals_Rescue
43766090,Topo,TX1841,Dog,Dog,Adult,adopted,2019-01-13T21:35:55+0000,2019-04-21T20:25:54+0000,FALSE,Tysons_Pals_Rescue
43766077,Topo,TX1841,Dog,Dog,Adult,adopted,2019-01-13T21:30:23+0000,2019-04-21T20:25:54+0000,FALSE,Tysons_Pals_Rescue
43766070,Topo,TX1841,Dog,Dog,Adult,adopted,2019-01-13T21:28:02+0000,2019-04-21T20:25:54+0000,FALSE,Tysons_Pals_Rescue
43766060,Topo,TX1841,Dog,Dog,Adult,adopted,2019-01-13T21:26:31+0000,2019-04-21T20:25:55+0000,FALSE,Tysons_Pals_Rescue
43759186,Topo_Gigo,TX1841,Dog,Dog,Adult,adopted,2019-01-13T21:23:58+0000,2019-04-21T20:25:55+0000,FALSE,Tysons_Pals_Rescue
43763772,Mula,TX1002,Dog,Dog,Adult,adopted,2019-01-13T17:35:49+0000,2019-05-20T20:44:26+0000,FALSE,San_Antonio_Doberman_Advocacy_and_Rescue
43763771,Lennox,TX1002,Dog,Dog,Young,adopted,2019-01-13T17:35:49+0000,2019-05-20T20:44:26+0000,FALSE,San_Antonio_Doberman_Advocacy_and_Rescue
43758910,Binx,TX2338,Cat,Cat,Adult,adoptable,2019-01-12T23:42:24+0000,2019-01-12T23:42:24+0000,TRUE,Fuzzy_Texan_Animal_Rescue
43758896,Simba,TX2338,Cat,Cat,Adult,adoptable,2019-01-12T23:38:53+0000,2019-01-12T23:38:53+0000,TRUE,Fuzzy_Texan_Animal_Rescue
43758872,Astro,TX2338,Cat,Cat,Adult,adoptable,2019-01-12T23:33:22+0000,2019-01-12T23:33:22+0000,TRUE,Fuzzy_Texan_Animal_Rescue
43758826,Onyx,TX2338,Cat,Cat,Adult,adoptable,2019-01-12T23:21:04+0000,2019-01-12T23:21:04+0000,TRUE,Fuzzy_Texan_Animal_Rescue
43758804,Seline,TX2338,Cat,Cat,Adult,adopted,2019-01-12T23:15:53+0000,2019-01-21T04:49:43+0000,TRUE,Fuzzy_Texan_Animal_Rescue
43758786,Stormy,TX2338,Cat,Cat,Adult,adopted,2019-01-12T23:07:07+0000,2019-04-17T21:06:17+0000,TRUE,Fuzzy_Texan_Animal_Rescue
43758771,Fox,TX2338,Cat,Cat,Baby,adopted,2019-01-12T23:02:18+0000,2019-01-28T21:25:55+0000,TRUE,Fuzzy_Texan_Animal_Rescue
